FIELDNAME,INTTYPE,LENG,DECIMALS,DOMNAME,ROLLNAME,FIELDTEXT
LALH18,C,000120,000000,CHAR120,CHAR120,char120
LALH19,C,000120,000000,CHAR120,CHAR120,char120
LALH20,C,000120,000000,CHAR120,CHAR120,char120
LALH21,C,000120,000000,CHAR120,CHAR120,char120
LALH22,C,000120,000000,CHAR120,CHAR120,char120
LALH23,C,000120,000000,CHAR120,CHAR120,char120
LALH24,C,000120,000000,CHAR120,CHAR120,char120
LALH25,C,000120,000000,CHAR120,CHAR120,char120
LALH26,C,000120,000000,CHAR120,CHAR120,char120
J_3RF_KPP,C,000012,000000,,,Subdivision's KPP
J_3RF_101,C,000002,000000,,,Payer Status
J_3RF_104,C,000020,000000,,,Budgetary classification code
J_3RF_105,C,000012,000000,,,OKATO code
J_3RF_106,C,000002,000000,,,Payment reason
J_3RF_107,C,000010,000000,,,Tax period
J_3RF_108,C,000016,000000,,,Document number
J_3RF_109,C,000010,000000,,,Document Date
J_3RF_110,C,000002,000000,,,Payment Type
J_3RF_22,C,000025,000000,,,UIN
VAT_STAT,C,000002,000000,,,VAT Status
VAT_AMT,C,000016,000000,,,VAT Amount
VOCODE,C,000005,000000,,,VO Code
SAPRFN,C,000048,000000,,,Debtor Cyrillic Name
SAPR10,C,000019,000000,,,Debtor KPP
MNDID,C,000035,000000,,FPM_MNDID,Mandate ID (SEPA)
SIGN_DATE,D,000008,000000,DATUM,FPM_MND_SIGN_DATE,Date of Signature (Mandate)
B2B,C,000001,000000,BOOLEAN,FPM_B2B,B2B Mandate
REC_CRDID,C,000035,000000,,FPM_CRDID,Vendor ID (Unique Cross-Country)
SEQ_TYPE,C,000004,000000,FPM_SEQ_TYPE,FPM_SEQ_TYPE,Sequence Type for Automatic Debit
INST_CODE,C,000004,000000,CHAR4,FPM_INST_CODE,Local Instrument Code (Direct Debit Type)
AMEND_IND,C,000001,000000,BOOLEAN,FPM_AMEND_IND,Amendment Indicator for Mandate
ORIG_MNDID,C,000035,000000,,FPM_MNDID,Mandate ID (SEPA)
ORIG_REC_CRDID,C,000035,000000,,FPM_CRDID,Vendor ID (Unique Cross-Country)
ORIG_REC_NAME1,C,000040,000000,TEXT40,FPM_NAME,Name of the Payee
ORIG_REC_NAME2,C,000040,000000,TEXT40,FPM_NAME,Name of the Payee
ORIG_IBAN,C,000034,000000,IBAN,IBAN,IBAN (International Bank Account Number)
ORIG_BIC,C,000011,000000,SWIFT,SWIFT,SWIFT/BIC for International Payments
SND_DEBTOR_ID,C,000035,000000,ID035,FPM_SND_DEBTOR_ID,Identification Number of Sender (Ext. Reference)
