FIELDNAME,INTTYPE,LENG,DECIMALS,DOMNAME,ROLLNAME,FIELDTEXT
CDTR_AGT_CLRSYSMMBID,C,000035,000000,,,Creditor Agent Clearing System Member ID
CDTR_AGT_BRNCID,C,000040,000000,TEXT40,BRNCH,Bank Branch
SVCLVL_PRTY,C,000035,000000,CHAR35,/CITIPMW/V3SVCLVL_PRTY,ServiceLevel Proprietary
CTGYPURP_PRTY,C,000035,000000,CHAR35,/CITIPMW/V3CTGYPURP_PRTY,CategoryPurpose Proprietary
DLVRYMTD_PRTY,C,000035,000000,CHAR35,/CITIPMW/V3DLVRYMTD_PRTY,Delivery Method  Proprietary / CSF Buyer ID
PURP_CD,C,000035,000000,CHAR35,/CITIPMW/V3PURP_CD,Purpose Code
PURP_PRTY,C,000035,000000,CHAR35,/CITIPMW/V3PURP_PRTY,Purpose Proprietary
BNKBRCHID,C,000005,000000,CHAR5,/CITIPMW/V3BNKBRCH_ID,Debtor Bank Branch ID
CHARGE_ID,C,000004,000000,CHAR4,/CITIPMW/V3CHARGE_ID,Charge Bearer Indiactor (SHAR / DEBT / CRED)
GLT_TAGS,C,000001,000000,CHECKBOX,/CITIPMW/V3GLT_TAGS,GLT* Tags
WHT_TAGS,C,000001,000000,CHECKBOX,/CITIPMW/V3WHT_TAGS,Withholding Tax tags (Thailand)
ARE_TAGS,C,000001,000000,CHECKBOX,/CITIPMW/V3ARE_TAGS,Argentina Equador : Legal tags
STRD,C,000001,000000,XFELD,/CITIPMW/V3STRD,Structured Remittance Info
NATION,C,000001,000000,AD_NATION,AD_NATION,Version ID for International Addresses
STCD1,C,000016,000000,STCD1,STCD1,Tax Number 1
STCD2,C,000011,000000,STCD2,STCD2,Tax Number 2
STCD3,C,000018,000000,CHAR18,STCD3,Tax Number 3
STCD4,C,000018,000000,CHAR18,STCD4,Tax Number 4
STCDT,C,000002,000000,J_1ATOID,J_1ATOID,Tax Number Type
ZSTCEG,C,000020,000000,STCEG,STCEG,VAT Registration Number
INSCODE1,C,000012,000000,CHAR12,WSCODE,Code Word for Instructions
INSTEXT1,C,000050,000000,TEXT50,WSTEXT,Text for Instruction
INSINFO1,C,000070,000000,CHAR70,CHAR70,"Character field, length 70"
INSCODE2,C,000012,000000,CHAR12,WSCODE,Code Word for Instructions
INSTEXT2,C,000050,000000,TEXT50,WSTEXT,Text for Instruction
INSINFO2,C,000070,000000,CHAR70,CHAR70,"Character field, length 70"
INSCODE3,C,000012,000000,CHAR12,WSCODE,Code Word for Instructions
INSTEXT3,C,000050,000000,TEXT50,WSTEXT,Text for Instruction
INSINFO3,C,000070,000000,CHAR70,CHAR70,"Character field, length 70"
INSCODE4,C,000012,000000,CHAR12,WSCODE,Code Word for Instructions
INSTEXT4,C,000050,000000,TEXT50,WSTEXT,Text for Instruction
INSINFO4,C,000070,000000,CHAR70,CHAR70,"Character field, length 70"
RMTLOCADDR,C,000140,000000,CHAR140,CHAR140,CHAR140
AGNT1SWIFT,C,000011,000000,SWIFT,SWIFT,SWIFT/BIC for International Payments
AGNT1BANKA,C,000060,000000,TEXT60,BANKA,Name of Financial Institution
AGNT1STRAS,C,000035,000000,TEXT35,STRAS_GP,Street and House Number
AGNT1ORT01,C,000035,000000,TEXT35,ORT01_GP,City
AGNT2SWIFT,C,000011,000000,SWIFT,SWIFT,SWIFT/BIC for International Payments
AGNT2BANKA,C,000060,000000,TEXT60,BANKA,Name of Financial Institution
AGNT2STRAS,C,000035,000000,TEXT35,STRAS_GP,Street and House Number
AGNT2ORT01,C,000035,000000,TEXT35,ORT01_GP,City
LALA,C,000001,000000,CHAR1,CHAR1,Single-Character Flag
LALB,C,000001,000000,CHAR1,CHAR1,Single-Character Flag
LALC,C,000001,000000,CHAR1,CHAR1,Single-Character Flag
LALD,C,000001,000000,CHAR1,CHAR1,Single-Character Flag
LALE,C,000001,000000,CHAR1,CHAR1,Single-Character Flag
LALF,C,000001,000000,CHAR1,CHAR1,Single-Character Flag
LALG,C,000001,000000,CHAR1,CHAR1,Single-Character Flag
LALH,C,000001,000000,CHAR1,CHAR1,Single-Character Flag
THAI,C,000001,000000,CHAR1,CHAR1,Single-Character Flag
LALA01,C,000120,000000,CHAR120,CHAR120,char120
LALA02,C,000120,000000,CHAR120,CHAR120,char120
LALA03,C,000120,000000,CHAR120,CHAR120,char120
LALA04,C,000120,000000,CHAR120,CHAR120,char120
LALA05,C,000120,000000,CHAR120,CHAR120,char120
LALA06,C,000120,000000,CHAR120,CHAR120,char120
LALA07,C,000120,000000,CHAR120,CHAR120,char120
LALA08,C,000120,000000,CHAR120,CHAR120,char120
LALA09,C,000120,000000,CHAR120,CHAR120,char120
LALA10,C,000120,000000,CHAR120,CHAR120,char120
LALA11,C,000120,000000,CHAR120,CHAR120,char120
LALA12,C,000120,000000,CHAR120,CHAR120,char120
LALA13,C,000120,000000,CHAR120,CHAR120,char120
LALA14,C,000120,000000,CHAR120,CHAR120,char120
LALA15,C,000120,000000,CHAR120,CHAR120,char120
LALA16,C,000120,000000,CHAR120,CHAR120,char120
LALA17,C,000120,000000,CHAR120,CHAR120,char120
LALA18,C,000120,000000,CHAR120,CHAR120,char120
LALA19,C,000120,000000,CHAR120,CHAR120,char120
LALA20,C,000120,000000,CHAR120,CHAR120,char120
LALA21,C,000120,000000,CHAR120,CHAR120,char120
LALA22,C,000120,000000,CHAR120,CHAR120,char120
LALA23,C,000120,000000,CHAR120,CHAR120,char120
LALA24,C,000120,000000,CHAR120,CHAR120,char120
LALA25,C,000120,000000,CHAR120,CHAR120,char120
LALA26,C,000120,000000,CHAR120,CHAR120,char120
LALB01,C,000120,000000,CHAR120,CHAR120,char120
LALB02,C,000120,000000,CHAR120,CHAR120,char120
LALB03,C,000120,000000,CHAR120,CHAR120,char120
LALB04,C,000120,000000,CHAR120,CHAR120,char120
LALB05,C,000120,000000,CHAR120,CHAR120,char120
LALB06,C,000120,000000,CHAR120,CHAR120,char120
LALB07,C,000120,000000,CHAR120,CHAR120,char120
LALB08,C,000120,000000,CHAR120,CHAR120,char120
LALB09,C,000120,000000,CHAR120,CHAR120,char120
LALB10,C,000120,000000,CHAR120,CHAR120,char120
LALB11,C,000120,000000,CHAR120,CHAR120,char120
LALB12,C,000120,000000,CHAR120,CHAR120,char120
LALB13,C,000120,000000,CHAR120,CHAR120,char120
LALB14,C,000120,000000,CHAR120,CHAR120,char120
LALB15,C,000120,000000,CHAR120,CHAR120,char120
LALB16,C,000120,000000,CHAR120,CHAR120,char120
LALB17,C,000120,000000,CHAR120,CHAR120,char120
LALB18,C,000120,000000,CHAR120,CHAR120,char120
LALB19,C,000120,000000,CHAR120,CHAR120,char120
LALB20,C,000120,000000,CHAR120,CHAR120,char120
LALB21,C,000120,000000,CHAR120,CHAR120,char120
LALB22,C,000120,000000,CHAR120,CHAR120,char120
LALB23,C,000120,000000,CHAR120,CHAR120,char120
LALB24,C,000120,000000,CHAR120,CHAR120,char120
LALB25,C,000120,000000,CHAR120,CHAR120,char120
LALB26,C,000120,000000,CHAR120,CHAR120,char120
LALC01,C,000120,000000,CHAR120,CHAR120,char120
LALC02,C,000120,000000,CHAR120,CHAR120,char120
LALC03,C,000120,000000,CHAR120,CHAR120,char120
LALC04,C,000120,000000,CHAR120,CHAR120,char120
LALC05,C,000120,000000,CHAR120,CHAR120,char120
LALC06,C,000120,000000,CHAR120,CHAR120,char120
LALC07,C,000120,000000,CHAR120,CHAR120,char120
LALC08,C,000120,000000,CHAR120,CHAR120,char120
LALC09,C,000120,000000,CHAR120,CHAR120,char120
LALC10,C,000120,000000,CHAR120,CHAR120,char120
LALC11,C,000120,000000,CHAR120,CHAR120,char120
LALC12,C,000120,000000,CHAR120,CHAR120,char120
LALC13,C,000120,000000,CHAR120,CHAR120,char120
LALC14,C,000120,000000,CHAR120,CHAR120,char120
LALC15,C,000120,000000,CHAR120,CHAR120,char120
LALC16,C,000120,000000,CHAR120,CHAR120,char120
LALC17,C,000120,000000,CHAR120,CHAR120,char120
LALC18,C,000120,000000,CHAR120,CHAR120,char120
LALC19,C,000120,000000,CHAR120,CHAR120,char120
LALC20,C,000120,000000,CHAR120,CHAR120,char120
LALC21,C,000120,000000,CHAR120,CHAR120,char120
LALC22,C,000120,000000,CHAR120,CHAR120,char120
LALC23,C,000120,000000,CHAR120,CHAR120,char120
LALC24,C,000120,000000,CHAR120,CHAR120,char120
LALC25,C,000120,000000,CHAR120,CHAR120,char120
LALC26,C,000120,000000,CHAR120,CHAR120,char120
LALD01,C,000120,000000,CHAR120,CHAR120,char120
LALD02,C,000120,000000,CHAR120,CHAR120,char120
LALD03,C,000120,000000,CHAR120,CHAR120,char120
LALD04,C,000120,000000,CHAR120,CHAR120,char120
LALD05,C,000120,000000,CHAR120,CHAR120,char120
LALD06,C,000120,000000,CHAR120,CHAR120,char120
LALD07,C,000120,000000,CHAR120,CHAR120,char120
LALD08,C,000120,000000,CHAR120,CHAR120,char120
LALD09,C,000120,000000,CHAR120,CHAR120,char120
LALD10,C,000120,000000,CHAR120,CHAR120,char120
LALD11,C,000120,000000,CHAR120,CHAR120,char120
LALD12,C,000120,000000,CHAR120,CHAR120,char120
LALD13,C,000120,000000,CHAR120,CHAR120,char120
LALD14,C,000120,000000,CHAR120,CHAR120,char120
LALD15,C,000120,000000,CHAR120,CHAR120,char120
LALD16,C,000120,000000,CHAR120,CHAR120,char120
LALD17,C,000120,000000,CHAR120,CHAR120,char120
LALD18,C,000120,000000,CHAR120,CHAR120,char120
LALD19,C,000120,000000,CHAR120,CHAR120,char120
LALD20,C,000120,000000,CHAR120,CHAR120,char120
LALD21,C,000120,000000,CHAR120,CHAR120,char120
LALD22,C,000120,000000,CHAR120,CHAR120,char120
LALD23,C,000120,000000,CHAR120,CHAR120,char120
LALD24,C,000120,000000,CHAR120,CHAR120,char120
LALD25,C,000120,000000,CHAR120,CHAR120,char120
LALD26,C,000120,000000,CHAR120,CHAR120,char120
