_TREE_TYPE,_TREE_ID,NODE_ID,PARENT_ID,NODE_TYPE
PAYM,/CGI_XML_CT_UNESCO,N_3263383210,N_1139283400,ELEM
PAYM,/CGI_XML_CT_UNESCO,N_3269530390,N_1235564610,TECH
PAYM,/CGI_XML_CT_UNESCO,N_3284361780,N_3498213760,ELEM
PAYM,/CGI_XML_CT_UNESCO,N_3299401480,N_3816618790,TECH
PAYM,/CGI_XML_CT_UNESCO,N_3309158080,N_2795997530,ELEM
PAYM,/CGI_XML_CT_UNESCO,N_3311210560,N_1139283400,ELEM
PAYM,/CGI_XML_CT_UNESCO,N_3320603430,N_8311560080,ELEM
PAYM,/CGI_XML_CT_UNESCO,N_3346275370,N_1139283400,ELEM
PAYM,/CGI_XML_CT_UNESCO,N_3364959910,N_5720024450,ELEM
PAYM,/CGI_XML_CT_UNESCO,N_3365164420,N_4360444640,ELEM
PAYM,/CGI_XML_CT_UNESCO,N_3374661640,N_0691968180,ELEM
PAYM,/CGI_XML_CT_UNESCO,N_3400532900,N_2664646900,XMAT
PAYM,/CGI_XML_CT_UNESCO,N_3425783580,N_8190227710,ELEM
PAYM,/CGI_XML_CT_UNESCO,N_3429280040,N_2795997530,ELEM
PAYM,/CGI_XML_CT_UNESCO,N_3463355640,N_3738885180,ELEM
PAYM,/CGI_XML_CT_UNESCO,N_3466207710,N_1160789980,ELEM
PAYM,/CGI_XML_CT_UNESCO,N_3472320390,N_2114725670,ELEM
PAYM,/CGI_XML_CT_UNESCO,N_3498213760,N_0653427090,ELEM
PAYM,/CGI_XML_CT_UNESCO,N_3541914060,N_1591612430,ELEM
PAYM,/CGI_XML_CT_UNESCO,N_3551258420,N_3861362410,ELEM
PAYM,/CGI_XML_CT_UNESCO,N_3559826030,N_4653624170,ELEM
PAYM,/CGI_XML_CT_UNESCO,N_3581298660,N_1139283400,TECH
PAYM,/CGI_XML_CT_UNESCO,N_3583105820,N_8824498030,ELEM
PAYM,/CGI_XML_CT_UNESCO,N_3587178480,N_5206513830,ELEM
PAYM,/CGI_XML_CT_UNESCO,N_3595021980,N_6201892920,ELEM
PAYM,/CGI_XML_CT_UNESCO,N_3599361390,N_4634017880,ELEM
PAYM,/CGI_XML_CT_UNESCO,N_3618407930,N_8573923400,ELEM
PAYM,/CGI_XML_CT_UNESCO,N_3623373620,N_2895255990,ELEM
PAYM,/CGI_XML_CT_UNESCO,N_3663938640,N_8022520680,ELEM
PAYM,/CGI_XML_CT_UNESCO,N_3663990150,N_7025030710,ELEM
PAYM,/CGI_XML_CT_UNESCO,N_3684693280,N_1591612430,TECH
PAYM,/CGI_XML_CT_UNESCO,N_3697641060,N_3043492130,ELEM
PAYM,/CGI_XML_CT_UNESCO,N_3708631190,N_8675857150,ELEM
PAYM,/CGI_XML_CT_UNESCO,N_3708800720,N_2170156590,ELEM
PAYM,/CGI_XML_CT_UNESCO,N_3709300380,N_1139283400,ELEM
PAYM,/CGI_XML_CT_UNESCO,N_3725687090,N_0978274660,TECH
PAYM,/CGI_XML_CT_UNESCO,N_3728484300,N_9113525360,ELEM
PAYM,/CGI_XML_CT_UNESCO,N_3738009360,N_5166812020,ELEM
PAYM,/CGI_XML_CT_UNESCO,N_3738885180,N_1139283400,ELEM
PAYM,/CGI_XML_CT_UNESCO,N_3754065010,N_6931641140,ELEM
PAYM,/CGI_XML_CT_UNESCO,N_3780425460,N_4981086760,ELEM
PAYM,/CGI_XML_CT_UNESCO,N_3796955960,N_4357792560,ELEM
PAYM,/CGI_XML_CT_UNESCO,N_3803888090,N_6263856470,ELEM
PAYM,/CGI_XML_CT_UNESCO,N_3813831110,N_8824498030,ELEM
PAYM,/CGI_XML_CT_UNESCO,N_3814726690,N_7978288280,TECH
PAYM,/CGI_XML_CT_UNESCO,N_3816618790,N_9874109890,ELEM
PAYM,/CGI_XML_CT_UNESCO,N_3820758340,N_3887555070,ELEM
PAYM,/CGI_XML_CT_UNESCO,N_3829201640,N_3842760480,ELEM
PAYM,/CGI_XML_CT_UNESCO,N_3829478300,N_1139283400,ELEM
PAYM,/CGI_XML_CT_UNESCO,N_3839776710,N_5481550650,ELEM
PAYM,/CGI_XML_CT_UNESCO,N_3842760480,N_2405519130,ELEM
PAYM,/CGI_XML_CT_UNESCO,N_3861362410,N_8675857150,ELEM
PAYM,/CGI_XML_CT_UNESCO,N_3868713570,N_8630803100,ELEM
PAYM,/CGI_XML_CT_UNESCO,N_3870371530,N_8218320160,ATOM
PAYM,/CGI_XML_CT_UNESCO,N_3880664910,N_4641247600,ELEM
PAYM,/CGI_XML_CT_UNESCO,N_3887555070,N_0653427090,ELEM
PAYM,/CGI_XML_CT_UNESCO,N_3889335640,N_5392001640,ELEM
PAYM,/CGI_XML_CT_UNESCO,N_3920401360,N_4409502400,ELEM
PAYM,/CGI_XML_CT_UNESCO,N_3920813800,N_3842760480,TECH
PAYM,/CGI_XML_CT_UNESCO,N_3975805550,N_2795997530,ELEM
PAYM,/CGI_XML_CT_UNESCO,N_4000396130,N_3816618790,TECH
PAYM,/CGI_XML_CT_UNESCO,N_4003174060,N_5064979580,ELEM
