TREE_ID,NODE_ID,CK_EXIT_FUNC,MP_CONST,PARENT_ID,_tree_id,NODE_TYPE,TREE_TYPE,MP_SC_FLD,TECH_NAME,MP_SC_TAB,MP_EXIT_FUNC
/SEPA_CT_UNES                 ,N_6785781300,,                                                                                                                                    ,N_9218834580,/SEPA_CT_UNES,ATOM,PAYM,KOINH                         ,KOINH                                             ,FPAYH                         ,                              
/SEPA_CT_UNES                 ,N_7192103500,,                                                                                                                                    ,N_1489713350,/SEPA_CT_UNES,ELEM,PAYM,                              ,PmtTpInf                                          ,                              ,                              
/SEPA_CT_UNES                 ,N_7251154690,,                                                                                                                                    ,N_4880705930,/SEPA_CT_UNES,ELEM,PAYM,                              ,CstmrCdtTrfInitn                                  ,                              ,                              
/SEPA_CT_UNES                 ,N_7315391560,,                                                                                                                                    ,N_9145273120,/SEPA_CT_UNES,ELEM,PAYM,                              ,UltmtDbtr                                         ,                              ,                              
/SEPA_CT_UNES                 ,N_7336576310,,TRF                                                                                                                                 ,N_1489713350,/SEPA_CT_UNES,ELEM,PAYM,                              ,PmtMtd                                            ,                              ,                              
/SEPA_CT_UNES                 ,N_7493536070,,                                                                                                                                    ,N_0875432660,/SEPA_CT_UNES,ELEM,PAYM,TEXT                          ,Ustrd                                             ,DMEE_PAYD                     ,                              
/SEPA_CT_UNES                 ,N_7551683230,,                                                                                                                                    ,N_1307819380,/SEPA_CT_UNES,ELEM,PAYM,UIBAN                         ,IBAN                                              ,FPAYHX                        ,                              
/SEPA_CT_UNES                 ,N_7595589420,,                                                                                                                                    ,N_6289915400,/SEPA_CT_UNES,ATOM,PAYM,DOC1T                         ,DOC1T                                             ,FPAYH                         ,                              
/SEPA_CT_UNES                 ,N_7631742550,,                                                                                                                                    ,N_1489713350,/SEPA_CT_UNES,ELEM,PAYM,                              ,DbtrAgt                                           ,                              ,                              
/SEPA_CT_UNES                 ,N_8000297680,,                                                                                                                                    ,N_6289915400,/SEPA_CT_UNES,ATOM,PAYM,DOC1R                         ,DOC1R(2)                                          ,FPAYH                         ,                              
/SEPA_CT_UNES                 ,N_8033474340,,                                                                                                                                    ,N_6289915400,/SEPA_CT_UNES,ATOM,PAYM,DOC1R                         ,DOC1R(3)                                          ,FPAYH                         ,                              
/SEPA_CT_UNES                 ,N_8123082880,,                                                                                                                                    ,N_9145273120,/SEPA_CT_UNES,ELEM,PAYM,                              ,CdtrAgt                                           ,                              ,                              
/SEPA_CT_UNES                 ,N_8313338750,,http://www.w3.org/2001/XMLSchema-instance                                                                                           ,N_1348246140,/SEPA_CT_UNES,ATOM,PAYM,                              ,ISO                                               ,                              ,                              
/SEPA_CT_UNES                 ,N_8516624060,,                                                                                                                                    ,N_0176201200,/SEPA_CT_UNES,XMAT,PAYM,WAERS                         ,Ccy                                               ,FPAYHX                        ,                              
/SEPA_CT_UNES                 ,N_8648256460,,                                                                                                                                    ,N_2590134600,/SEPA_CT_UNES,ATOM,PAYM,TEXT                          ,PAYD2                                             ,DMEE_PAYD                     ,                              
/SEPA_CT_UNES                 ,N_8692994050,,                                                                                                                                    ,N_1489713350,/SEPA_CT_UNES,ELEM,PAYM,                              ,CtrlSum                                           ,                              ,                              
/SEPA_CT_UNES                 ,N_8885067030,,                                                                                                                                    ,N_3904828830,/SEPA_CT_UNES,ELEM,PAYM,USWIF                         ,BIC                                               ,FPAYHX                        ,                              
/SEPA_CT_UNES                 ,N_8921987690,,                                                                                                                                    ,N_1489713350,/SEPA_CT_UNES,ELEM,PAYM,                              ,NbOfTxs                                           ,                              ,                              
/SEPA_CT_UNES                 ,N_9051497000,,                                                                                                                                    ,N_7493536070,/SEPA_CT_UNES,ATOM,PAYM,TEXT                          ,REFERENCE1                                        ,DMEE_PAYD                     ,                              
/SEPA_CT_UNES                 ,N_9079232430,,-                                                                                                                                   ,N_0179888070,/SEPA_CT_UNES,ATOM,PAYM,                              ,-                                                 ,                              ,                              
/SEPA_CT_UNES                 ,N_9119400740,,                                                                                                                                    ,N_1600557490,/SEPA_CT_UNES,ELEM,PAYM,ZSWIF                         ,BIC                                               ,FPAYH                         ,                              
/SEPA_CT_UNES                 ,N_9145273120,,                                                                                                                                    ,N_1489713350,/SEPA_CT_UNES,ELEM,PAYM,                              ,CdtTrfTxInf                                       ,                              ,                              
/SEPA_CT_UNES                 ,N_9154022450,,                                                                                                                                    ,N_3212123950,/SEPA_CT_UNES,ATOM,PAYM,AUSFD                         ,YYYY                                              ,FPAYH                         ,                              
/SEPA_CT_UNES                 ,N_9198189290,,                                                                                                                                    ,N_1489713350,/SEPA_CT_UNES,ELEM,PAYM,RENUM                         ,PmtInfId                                          ,FPAYHX                        ,ZDMEE_EXIT_SEPA_21            
/SEPA_CT_UNES                 ,N_9218834580,,                                                                                                                                    ,N_4788773110,/SEPA_CT_UNES,ELEM,PAYM,                              ,Nm                                                ,                              ,                              
/SEPA_CT_UNES                 ,N_9481469990,,                                                                                                                                    ,N_1489713350,/SEPA_CT_UNES,ELEM,PAYM,                              ,Dbtr                                              ,                              ,                              
