TREE_ID,MP_CONST,NODE_TYPE,MP_SC_FLD,NODE_ID,TECH_NAME,_tree_id,PARENT_ID,TREE_TYPE,MP_SC_TAB
/CITI/XML/UNESCO/DC_V3_01     ,,ELEM,REF01                         ,N_5266705030,PstCd                                             ,/CITI/XML/UNESCO/DC_V3_01,N_1531351640,PAYM,FPAYHX                        
/CITI/XML/UNESCO/DC_V3_01     ,,ELEM,LALC01                        ,N_5278642830,Ustrd                                             ,/CITI/XML/UNESCO/DC_V3_01,N_9054091070,PAYM,FPAYHX                        
/CITI/XML/UNESCO/DC_V3_01     ,,ELEM,                              ,N_5287709750,Rcrd                                              ,/CITI/XML/UNESCO/DC_V3_01,N_8573175080,PAYM,                              
/CITI/XML/UNESCO/DC_V3_01     ,,ATOM,ZPFAC                         ,N_5312732640,POBOXNUM                                          ,/CITI/XML/UNESCO/DC_V3_01,N_3825417170,PAYM,FPAYH                         
/CITI/XML/UNESCO/DC_V3_01     ,,ELEM,LAND1                         ,N_5317374210,Ctry                                              ,/CITI/XML/UNESCO/DC_V3_01,N_1531351640,PAYM,FPAYHX                        
/CITI/XML/UNESCO/DC_V3_01     ,,ELEM,LALB14                        ,N_5320842430,TaxblBaseAmt                                      ,/CITI/XML/UNESCO/DC_V3_01,N_0984892090,PAYM,FPAYHX                        
/CITI/XML/UNESCO/DC_V3_01     ,,ELEM,                              ,N_5338938900,Prtry                                             ,/CITI/XML/UNESCO/DC_V3_01,N_3161949360,PAYM,                              
/CITI/XML/UNESCO/DC_V3_01     ,,ELEM,LALA21                        ,N_5339676110,AddtlInf                                          ,/CITI/XML/UNESCO/DC_V3_01,N_3895860980,PAYM,FPAYHX                        
/CITI/XML/UNESCO/DC_V3_01     ,,ELEM,                              ,N_5344628520,Tp                                                ,/CITI/XML/UNESCO/DC_V3_01,N_3627217200,PAYM,                              
/CITI/XML/UNESCO/DC_V3_01     ,,ATOM,DATLO                         ,N_5378481270,YYYY                                              ,/CITI/XML/UNESCO/DC_V3_01,N_9980466550,PAYM,SYST                          
