fund,fund_type,fund_desc,wbs_objnr,wbs_posid,wbs_post1,link_tier,ps_pool_2026,fm_pool_2026_min,fm_blocking_bucket,state,deficit_severity_rank,postings_count_2024_26,wbs_fund_count
221MOZ4000,108,,PR00042973,221MOZ4000.7.1,A1 Technical personnel (National Expert,HARD,0.0,0.0,,BOTH-EXHAUSTED,2770,10,1
221MOZ4000,108,,PR00042976,221MOZ4000.7.4,2 Travel,HARD,0.0,0.0,,BOTH-EXHAUSTED,2771,5,1
221MOZ4000,108,,PR00042977,221MOZ4000.7.5,B1. Consultancy/Services(for executive,HARD,0.0,0.0,,BOTH-EXHAUSTED,2772,5,1
221MOZ4000,108,,PR00042978,221MOZ4000.7.6,B Construction process,HARD,0.0,0.0,,BOTH-EXHAUSTED,2773,6,1
221MOZ4000,108,,PR00042981,221MOZ4000.8.1,A1. Staff and other personnel costs (Cos,HARD,0.0,0.0,,BOTH-EXHAUSTED,2774,57,1
221MOZ4000,108,,PR00042984,221MOZ4000.8.4,2. Construction process,HARD,0.0,0.0,,BOTH-EXHAUSTED,2775,2,1
221MOZ4000,108,,PR00042990,221MOZ4000.9.5,C3 General Operating and other costs,HARD,0.0,0.0,,BOTH-EXHAUSTED,2776,33,1
221MOZ4000,108,,PR00042991,221MOZ4000.9.6,Construction process,HARD,0.0,0.0,,BOTH-EXHAUSTED,2777,7,1
221NEP4000,108,,PR00055281,221NEP4000,Top WBS: Baseline Assessment of Cultural,HARD,0.0,0.0,,BOTH-EXHAUSTED,2778,1,1
221NEP4000,108,,PR00055282,221NEP4000.1,Activity 1.1,HARD,0.0,0.0,,BOTH-EXHAUSTED,2779,3,1
221NEP4000,108,,PR00055283,221NEP4000.2,Activity 1.2,HARD,0.0,0.0,,BOTH-EXHAUSTED,2780,8,1
221PER4002,108,,PR00046370,221PER4002,Strengthening of capacities in art and c,HARD,0.0,0.0,,BOTH-EXHAUSTED,2781,1,1
221PER4003,108,,PR00051331,221PER4003,Top WBS: Pathways to social cohesion and,HARD,0.0,0.0,,BOTH-EXHAUSTED,2782,1,1
221PER4003,108,,PR00051332,221PER4003.1,Activity 1,HARD,0.0,0.0,,BOTH-EXHAUSTED,2783,34,1
221PER4003,108,,PR00051333,221PER4003.2,Activity 2,HARD,0.0,0.0,,BOTH-EXHAUSTED,2784,62,1
221PER4003,108,,PR00051334,221PER4003.3,Activity 3,HARD,0.0,0.0,,BOTH-EXHAUSTED,2785,43,1
221PHI5000,108,,PR00056197,221PHI5000,Top WBS: OHCH-UNESCO FoE and Safety of J,HARD,18458.88,1027.51,JAK/80,ALIGNED,9410,1,1
221PHI5000,108,,PR00056198,221PHI5000.1,Staff and other personnel cost,HARD,1372.8,6000.0,JAK/11,ALIGNED,9553,3,1
221PHI5000,108,,PR00056199,221PHI5000.2,Contractual Services,HARD,2170.35,8678.65,JAK/20,ALIGNED,9879,2,1
221PHI5000,108,,PR00056203,221PHI5000.6,Management fee,HARD,150.0,6000.0,JAK/11,ALIGNED,8367,1,1
221PHI5000,108,,PR00056205,221PHI5000.8,Travel,HARD,87.08,1027.51,JAK/80,ALIGNED,8125,29,1
221PRC1001,108,,PR00050429,221PRC1001,"Top WBS: Promotion of improved Health, N",HARD,-680362.19,-690653.0,BRV/REVENUE,BOTH-EXHAUSTED,283,322,1
221PRC1002,108,,PR00059679,221PRC1002,"Promotion of improved Health, Nutrition,",HARD,880653.0,690653.0,BRV/REVENUE,ALIGNED,11538,1,1
