wbs_objnr,wbs_posid,wbs_post1,fund,fund_type,fund_count_on_wbs,fund_consumption_2024_26,total_consumption_2024_26,fund_share_pct,postings_count_2024_26
PR00000108,3,Major Programme 3 (Soc & Hum Sciences),2210472031,002,275,6197.14,14610978.92,0.04,3
PR00000109,4,Major Programme 4 (Culture),2210511021,001,369,688.96,20047784.84,0.0,2
PR00000109,4,Major Programme 4 (Culture),2210511041,001,369,1447.4,20047784.84,0.01,11
PR00000106,1,Major Programme 1 (Education),2210512021,001,592,9.36,51817355.99,0.0,4
PR00000109,4,Major Programme 4 (Culture),2210512031,001,369,800.75,20047784.84,0.0,2
PR00000109,4,Major Programme 4 (Culture),2210512061,001,369,21.47,20047784.84,0.0,3
PR00000109,4,Major Programme 4 (Culture),2210512071,001,369,25.87,20047784.84,0.0,1
PR00000109,4,Major Programme 4 (Culture),2210514051,001,369,6.7,20047784.84,0.0,1
PR00000109,4,Major Programme 4 (Culture),2210514062,001,369,5.25,20047784.84,0.0,2
PR00000109,4,Major Programme 4 (Culture),2210514071,001,369,2.65,20047784.84,0.0,1
PR00000107,2,Major Programme 2 (Natural Sciences),2210514081,001,591,911.85,25643916.0,0.0,6
PR00000107,2,Major Programme 2 (Natural Sciences),2210515021,001,591,4750.2,25643916.0,0.02,10
PR00000106,1,Major Programme 1 (Education),2210516011,001,592,181.14,51817355.99,0.0,1
PR00000109,4,Major Programme 4 (Culture),2210521011,001,369,373.64,20047784.84,0.0,11
PR00000109,4,Major Programme 4 (Culture),2210521021,001,369,9.58,20047784.84,0.0,2
PR00000109,4,Major Programme 4 (Culture),2210522011,001,369,552.44,20047784.84,0.0,6
PR00000106,1,Major Programme 1 (Education),2210522031,001,592,72.49,51817355.99,0.0,13
PR00000109,4,Major Programme 4 (Culture),2210523031,001,369,6.51,20047784.84,0.0,2
PR00000109,4,Major Programme 4 (Culture),2210524011,001,369,142.31,20047784.84,0.0,3
PR00000109,4,Major Programme 4 (Culture),2210531011,001,369,1251.7,20047784.84,0.01,4
PR00000109,4,Major Programme 4 (Culture),2210532011,001,369,1535.76,20047784.84,0.01,7
PR00000109,4,Major Programme 4 (Culture),2210532041,001,369,431.38,20047784.84,0.0,2
PR00000109,4,Major Programme 4 (Culture),2210532051,001,369,8387.97,20047784.84,0.04,6
PR00000109,4,Major Programme 4 (Culture),2210534011,001,369,2999.35,20047784.84,0.01,3
PR00000109,4,Major Programme 4 (Culture),2210541011,001,369,13366.17,20047784.84,0.07,67
PR00000108,3,Major Programme 3 (Soc & Hum Sciences),2210542011,001,275,246.0,14610978.92,0.0,1
PR00000109,4,Major Programme 4 (Culture),2210542011,001,369,1581.88,20047784.84,0.01,7
PR00000109,4,Major Programme 4 (Culture),2210542061,001,369,725.67,20047784.84,0.0,3
PR00000107,2,Major Programme 2 (Natural Sciences),2210544021,001,591,4.19,25643916.0,0.0,1
PR00000109,4,Major Programme 4 (Culture),2210551011,001,369,1694.23,20047784.84,0.01,1
PR00000109,4,Major Programme 4 (Culture),2210552011,001,369,147.59,20047784.84,0.0,2
PR00000109,4,Major Programme 4 (Culture),2210552061,001,369,2162.33,20047784.84,0.01,4
PR00000109,4,Major Programme 4 (Culture),2210553021,001,369,2.34,20047784.84,0.0,2
PR00000109,4,Major Programme 4 (Culture),2210554021,001,369,6.57,20047784.84,0.0,1
PR00000109,4,Major Programme 4 (Culture),2210561011,001,369,1735.95,20047784.84,0.01,6
PR00000109,4,Major Programme 4 (Culture),2210562031,001,369,1822.88,20047784.84,0.01,8
PR00000109,4,Major Programme 4 (Culture),2210562051,001,369,375.23,20047784.84,0.0,5
PR00000107,2,Major Programme 2 (Natural Sciences),2210566031,001,591,917.47,25643916.0,0.0,3
PR00000107,2,Major Programme 2 (Natural Sciences),2210571011,003,591,2792.28,25643916.0,0.01,3
PR00000109,4,Major Programme 4 (Culture),2210571011,003,369,2234.48,20047784.84,0.01,5
PR00000109,4,Major Programme 4 (Culture),2210571021,003,369,10490.61,20047784.84,0.05,7
