ATOM_HANDL,BROTHER_ID,CK_EXIT_FUNC,CRLF_ONLY,CV_RULE,CV_SOURCE_FORMAT,DATA_TYPE,EX_STATUS,FIRSTCHILD_ID,INT_DATA_TYPE,LENGTH,LENGTH_IN_BYTES,LEV,MP_CONST,MP_CUKY_FLD,MP_CUKY_TAB,MP_EXIT_FUNC,MP_IF_TP,MP_OFFSET,MP_SC_FLD,MP_SC_NODE,MP_SC_NODE_ATTR,MP_SC_OFFSET,MP_SC_REF_NAME,MP_SC_TAB,MP_SELECTION,MSG_CLASS_EXIT,MSG_CLASS_SCREEN,MSG_NUM_EXIT,MSG_NUM_SCREEN,NODE_ID,NODE_TYPE,PARENT_ID,REACT_LEV_EXIT,REACT_LEV_SCREEN,REF_NAME,SEGM_CR,SEGM_END,SEGM_LF,SHIFTED_OUTPUT,TAB_KEYFLD,TDFORM_NAME,TECH_NAME,TRAILER,TREE_ID,TREE_TYPE,VERSION,X_COMPLTAB,_tree_id
  ,N_4946758140,                              , ,          ,          ,C,2,            ,,0000,,000,                                                                                                                                    ,                              ,                              ,                              ,1,000,LAND1                         ,            ,,000,            ,FPAYHX                        ,2,                    ,                    ,   ,   ,N_2225746230,ELEM,N_9926185740, ,,            , , , , ,,                    ,Ctry                                              , ,/SEPA_CT_UNES                 ,PAYM,000, ,/SEPA_CT_UNES
  ,,                              , ,          ,          ,C, ,            ,,0020,,000,                                                                                                                                    ,                              ,                              ,                              ,1,003,DOC1R                         ,            ,,004,            ,FPAYH                         ,2,                    ,                    ,   ,   ,N_2257360070,ATOM,N_6289915400, ,,            , , , , ,,                    ,DOC1R(rest)                                       , ,/SEPA_CT_UNES                 ,PAYM,000, ,/SEPA_CT_UNES
  ,,                              , ,CL RP    X,          ,C, ,            ,,0032,,000,                                                                                                                                    ,                              ,                              ,                              ,3,000,TEXT                          ,            ,,000,            ,DMEE_PAYD                     ,2,                    ,                    ,   ,   ,N_2378752350,ATOM,N_7493536070, ,,            , , , , ,1,                    ,REFERENCE4                                        , ,/SEPA_CT_UNES                 ,PAYM,000, ,/SEPA_CT_UNES
  ,N_9926185740,                              , ,CL RP    X,          ,C, ,            ,,0040,,000,                                                                                                                                    ,                              ,                              ,                              ,1,000,NAMEZ                         ,            ,,000,            ,FPAYHX                        ,2,                    ,                    ,   ,   ,N_2411404380,ELEM,N_9481469990, ,,            , , , , ,,                    ,Nm                                                , ,/SEPA_CT_UNES                 ,PAYM,000, ,/SEPA_CT_UNES
  ,,                              , ,          ,          ,C, ,            ,,0000,,000,                                                                                                                                    ,                              ,                              ,DMEE_EXIT_SEPA_31             , ,000,                              ,            ,,000,            ,                              ,5,                    ,                    ,   ,   ,N_2411930340,TECH,N_9145273120, ,,            , , , , ,,                    ,PmtRef                                            , ,/SEPA_CT_UNES                 ,PAYM,000, ,/SEPA_CT_UNES
  ,N_9051497000,                              , ,CL RP    X,          ,C, ,            ,,0012,,000,                                                                                                                                    ,                              ,                              ,                              ,3,000,TEXT                          ,            ,,000,            ,DMEE_PAYD                     ,2,                    ,                    ,   ,   ,N_2470231520,ATOM,N_7493536070, ,,            , , , , ,3,                    ,PAYD3                                             , ,/SEPA_CT_UNES                 ,PAYM,000, ,/SEPA_CT_UNES
  ,,                              , ,          ,          ,C, ,N_8648256460,,0000,,000,                                                                                                                                    ,                              ,                              ,                              , ,000,                              ,            ,,000,            ,                              ,6,                    ,                    ,   ,   ,N_2590134600,ELEM,N_6025412550, ,,            , , , , ,,                    ,EndToEndId                                        , ,/SEPA_CT_UNES                 ,PAYM,000, ,/SEPA_CT_UNES
  ,N_6054982000,                              , ,          ,          ,C,2,            ,,0000,,000,                                                                                                                                    ,                              ,                              ,                              ,1,000,ZLISO                         ,            ,,000,            ,FPAYHX                        ,2,                    ,                    ,   ,   ,N_2790093090,ELEM,N_4754354180, ,,            , , , , ,,                    ,Ctry                                              , ,/SEPA_CT_UNES                 ,PAYM,000, ,/SEPA_CT_UNES
  ,,                              , ,CLURP    X,          ,C, ,            ,,0040,,000,                                                                                                                                    ,                              ,                              ,                              ,1,000,BNAME                         ,            ,,000,            ,FPAYP                         ,2,                    ,                    ,   ,   ,N_3166789840,ELEM,N_7315391560, ,,            , , , , ,,                    ,Nm                                                , ,/SEPA_CT_UNES                 ,PAYM,000, ,/SEPA_CT_UNES
  ,N_9481469990,                              , ,          ,          ,C, ,N_9154022450,,0010,,002,                                                                                                                                    ,                              ,                              ,                              , ,000,                              ,            ,,000,            ,                              ,6,                    ,                    ,   ,   ,N_3212123950,ELEM,N_1489713350, ,,            , , , , ,,                    ,ReqdExctnDt                                       , ,/SEPA_CT_UNES                 ,PAYM,000, ,/SEPA_CT_UNES
  ,,                              , ,          ,          ,C, ,            ,,0070,,000,                                                                                                                                    ,                              ,                              ,                              ,4,000,XMLNS                         ,            ,,000,            ,FPM_SEPA                      ,2,                    ,                    ,   ,   ,N_3311263550,ATOM,N_6389156500, ,,            , , , , ,,                    ,Para                                              , ,/SEPA_CT_UNES                 ,PAYM,000, ,/SEPA_CT_UNES
  ,N_5068303050,                              , ,CL        ,          ,C, ,            ,,0001,,000,T                                                                                                                                   ,                              ,                              ,                              , ,010,                              ,            ,,000,            ,                              ,1,                    ,                    ,   ,   ,N_3751282570,ATOM,N_0179888070, ,,            , , , , ,,                    ,T                                                 , ,/SEPA_CT_UNES                 ,PAYM,000, ,/SEPA_CT_UNES
  ,N_9145273120,                              , ,          ,          ,C, ,            ,,0000,,002,SLEV                                                                                                                                ,                              ,                              ,                              , ,000,                              ,            ,,000,            ,                              ,1,                    ,                    ,   ,   ,N_3895768940,ELEM,N_1489713350, ,,            , , , , ,,                    ,ChrgBr                                            , ,/SEPA_CT_UNES                 ,PAYM,000, ,/SEPA_CT_UNES
  ,,                              , ,          ,          ,C, ,N_8885067030,,0000,,000,                                                                                                                                    ,                              ,                              ,                              , ,000,                              ,            ,,000,            ,                              ,8,                    ,                    ,   ,   ,N_3904828830,ELEM,N_7631742550, ,,            , , , , ,,                    ,FinInstnId                                        , ,/SEPA_CT_UNES                 ,PAYM,000, ,/SEPA_CT_UNES
  ,,                              , ,CL RP    X,          ,C, ,            ,,0000,,000,                                                                                                                                    ,                              ,                              ,                              ,1,000,NAME1                         ,            ,,000,            ,FPAYP                         ,2,                    ,                    ,   ,   ,N_3963698540,ELEM,N_1781756050, ,,            , , , , ,,                    ,Nm                                                , ,/SEPA_CT_UNES                 ,PAYM,000, ,/SEPA_CT_UNES
  ,,                              , ,          ,          ,C, ,N_1761132200,,0000,,001,                                                                                                                                    ,                              ,                              ,                              , ,000,                              ,            ,,000,            ,                              ,8,                    ,                    ,   ,   ,N_4457909410,ELEM,N_9961450310, ,,            , , , , ,,                    ,InitgPty                                          , ,/SEPA_CT_UNES                 ,PAYM,000, ,/SEPA_CT_UNES
  ,N_8000297680,                              , ,          ,          ,C, ,            ,,0001,,000,                                                                                                                                    ,                              ,                              ,                              ,1,000,DOC1R                         ,            ,,000,            ,FPAYH                         ,2,                    ,                    ,   ,   ,N_4604210940,ATOM,N_6289915400, ,,            , , , , ,,                    ,DOC1R(1)                                          , ,/SEPA_CT_UNES                 ,PAYM,000, ,/SEPA_CT_UNES
  ,,                              , ,          ,          ,C, ,N_2790093090,,0000,,000,                                                                                                                                    ,                              ,                              ,                              , ,000,                              ,            ,,000,            ,                              ,8,                    ,                    ,   ,   ,N_4754354180,ELEM,N_4788773110, ,,            , , , , ,,                    ,PstlAdr                                           , ,/SEPA_CT_UNES                 ,PAYM,000, ,/SEPA_CT_UNES
  ,N_1114124980,                              , ,          ,          ,C, ,N_9218834580,,0000,,003,                                                                                                                                    ,                              ,                              ,                              , ,000,                              ,            ,,000,            ,                              ,8,                    ,                    ,   ,   ,N_4788773110,ELEM,N_9145273120, ,,            , , , , ,,                    ,Cdtr                                              , ,/SEPA_CT_UNES                 ,PAYM,000, ,/SEPA_CT_UNES
  ,N_0933751040,                              , ,CL RP    X,          ,C, ,            ,,0032,,000,                                                                                                                                    ,                              ,                              ,                              ,3,000,TEXT                          ,            ,,000,            ,DMEE_PAYD                     ,2,                    ,                    ,   ,   ,N_4799051040,ATOM,N_7493536070, ,,            , , , , ,1,                    ,REFERENCE2                                        , ,/SEPA_CT_UNES                 ,PAYM,000, ,/SEPA_CT_UNES
  ,N_1374946860,                              , ,CL        ,          ,C, ,            ,,0001,,000,-                                                                                                                                   ,                              ,                              ,                              , ,007,                              ,            ,,000,            ,                              ,1,                    ,                    ,   ,   ,N_4864286940,ATOM,N_3212123950, ,,            , , , , ,,                    ,-                                                 , ,/SEPA_CT_UNES                 ,PAYM,000, ,/SEPA_CT_UNES
  ,,                              , ,          ,          ,C, ,N_6389156500,,0000,,001,                                                                                                                                    ,                              ,                              ,                              , ,000,                              ,            ,,000,            ,                              ,8,                    ,                    ,   ,   ,N_4880705930,ELEM,ROOT        , ,,            , , , , ,,                    ,Document                                          , ,/SEPA_CT_UNES                 ,PAYM,000, ,/SEPA_CT_UNES
  ,,                              , ,CL        ,          ,C, ,            ,,0002,,000,                                                                                                                                    ,                              ,                              ,                              ,1,008,AUSFD                         ,            ,,006,            ,FPAYH                         ,2,                    ,                    ,   ,   ,N_4907943150,ATOM,N_3212123950, ,,            , , , , ,,                    ,DD                                                , ,/SEPA_CT_UNES                 ,PAYM,000, ,/SEPA_CT_UNES
  ,,                              , ,CL RP    X,          ,C,2,            ,,0070,,000,                                                                                                                                    ,                              ,                              ,                              ,1,000,ORT1Z                         ,            ,,000,            ,FPAYHX                        ,2,                    ,                    ,   ,   ,N_4946758140,ELEM,N_9926185740, ,,            , , , , ,,                    ,AdrLine                                           , ,/SEPA_CT_UNES                 ,PAYM,000, ,/SEPA_CT_UNES
  ,,                              , ,T:HHMMSS  ,          ,C, ,            ,,0008,,000,                                                                                                                                    ,                              ,                              ,                              ,5,011,TIMLO                         ,            ,,000,            ,SYST                          ,2,                    ,                    ,   ,   ,N_5068303050,ATOM,N_0179888070, ,,            , , , , ,,                    ,Time                                              , ,/SEPA_CT_UNES                 ,PAYM,000, ,/SEPA_CT_UNES
  ,N_4907943150,                              , ,CL        ,          ,C, ,            ,,0001,,000,-                                                                                                                                   ,                              ,                              ,                              , ,004,                              ,            ,,000,            ,                              ,1,                    ,                    ,   ,   ,N_5298508320,ATOM,N_3212123950, ,,            , , , , ,,                    ,-                                                 , ,/SEPA_CT_UNES                 ,PAYM,000, ,/SEPA_CT_UNES
  ,,                              , ,          ,          ,C, ,            ,,0000,,002,                                                                                                                                    ,                              ,                              ,DMEE_EXIT_SEPA_41             , ,000,                              ,            ,,000,            ,                              ,5,                    ,                    ,   ,   ,N_5323647340,TECH,N_7251154690, ,,            , , , , ,,                    ,PmtTrailer                                        , ,/SEPA_CT_UNES                 ,PAYM,000, ,/SEPA_CT_UNES
  ,N_0179888070,                              , ,          ,          ,C, ,            ,,0016,,001,                                                                                                                                    ,                              ,                              ,                              ,1,000,RENUM                         ,            ,,000,            ,FPAYHX                        ,2,                    ,                    ,   ,   ,N_5566338990,ELEM,N_9961450310, ,,            , , , , ,,                    ,MsgId                                             , ,/SEPA_CT_UNES                 ,PAYM,000, ,/SEPA_CT_UNES
  ,,                              , ,          ,          ,C, ,N_2147266940,,0000,,000,                                                                                                                                    ,                              ,                              ,                              , ,000,                              ,            ,,000,            ,                              ,8,                    ,                    ,   ,   ,N_5757152900,ELEM,N_7192103500, ,,            , , , , ,,                    ,SvcLvl                                            , ,/SEPA_CT_UNES                 ,PAYM,000, ,/SEPA_CT_UNES
  ,,                              , ,          ,          ,C, ,            ,,0000,,000,                                                                                                                                    ,                              ,                              ,                              ,1,000,UBWAE                         ,            ,,000,            ,FPAYHX                        ,2,                    ,                    ,   ,   ,N_5832864770,ELEM,N_1769383930, ,,            , , , , ,,                    ,Ccy                                               , ,/SEPA_CT_UNES                 ,PAYM,000, ,/SEPA_CT_UNES
  ,N_9746682670,                              , ,CL RP    X,          ,C, ,            ,,0000,,000,                                                                                                                                    ,                              ,                              ,                              ,1,000,AUST1                         ,            ,,000,            ,FPAYHX                        ,2,                    ,                    ,   ,   ,N_5958302950,ATOM,N_1761132200, ,,            , , , , ,,                    ,AUST1                                             , ,/SEPA_CT_UNES                 ,PAYM,000, ,/SEPA_CT_UNES
  ,,                              , ,          ,          ,C, ,            ,,0070,,000,                                                                                                                                    ,                              ,                              ,                              ,4,000,XSI                           ,            ,,000,            ,FPM_SEPA                      ,2,                    ,                    ,   ,   ,N_6010401760,ATOM,N_1348246140, ,,            , , , , ,,                    ,Para                                              , ,/SEPA_CT_UNES                 ,PAYM,000, ,/SEPA_CT_UNES
  ,N_0206686030,                              , ,          ,          ,C, ,N_6289915400,,0000,,003,                                                                                                                                    ,                              ,                              ,                              , ,000,                              ,            ,,000,            ,                              ,8,                    ,                    ,   ,   ,N_6025412550,ELEM,N_9145273120, ,,            , , , , ,,                    ,PmtId                                             , ,/SEPA_CT_UNES                 ,PAYM,000, ,/SEPA_CT_UNES
  ,N_7251154690,                              , ,          ,          ,C, ,            ,,0000,,000,                                                                                                                                    ,                              ,                              ,                              ,4,000,SCHEMALOCATION                ,            ,,000,            ,FPM_SEPA                      ,2,                    ,                    ,   ,   ,N_6048457700,XMAT,N_4880705930, ,,            , , , , ,,                    ,xsi:schemaLocation                                , ,/SEPA_CT_UNES                 ,PAYM,000, ,/SEPA_CT_UNES
  ,N_6343458710,                              , ,CLURP    X,          ,C,2,            ,,0000,,000,                                                                                                                                    ,                              ,                              ,                              ,1,000,ZPFST                         ,            ,,000,            ,FPAYHX                        ,2,                    ,                    ,   ,   ,N_6054982000,ELEM,N_4754354180, ,,            , , , , ,,                    ,AdrLine                                           , ,/SEPA_CT_UNES                 ,PAYM,000, ,/SEPA_CT_UNES
01,N_2590134600,                              , ,          ,          ,C, ,N_7595589420,,0000,,000,                                                                                                                                    ,                              ,                              ,                              , ,000,                              ,            ,,000,            ,                              ,6,                    ,                    ,   ,   ,N_6289915400,ELEM,N_6025412550, ,,            , , , , ,,                    ,InstrId                                           , ,/SEPA_CT_UNES                 ,PAYM,000, ,/SEPA_CT_UNES
  ,,                              , ,          ,          ,C, ,            ,,0012,,000,NOTPROVIDED                                                                                                                         ,                              ,                              ,                              , ,000,                              ,            ,,000,            ,                              ,1,                    ,                    ,   ,   ,N_6307338780,ATOM,N_2590134600, ,,            , , , , ,,                    ,NOTPROVIDED                                       , ,/SEPA_CT_UNES                 ,PAYM,000, ,/SEPA_CT_UNES
  ,,                              , ,CLURP    X,          ,C, ,            ,,0000,,000,                                                                                                                                    ,                              ,                              ,                              ,1,000,ZPLOR                         ,            ,,000,            ,FPAYHX                        ,2,                    ,                    ,   ,   ,N_6343458710,ELEM,N_4754354180, ,,            , , , , ,,                    ,AdrLine                                           , ,/SEPA_CT_UNES                 ,PAYM,000, ,/SEPA_CT_UNES
  ,N_1348246140,                              , ,          ,          ,C, ,N_6621347550,,0000,,000,                                                                                                                                    ,                              ,                              ,                              , ,000,                              ,            ,,000,            ,                              ,6,                    ,                    ,   ,   ,N_6389156500,XMAT,N_4880705930, ,,            , , , , ,,                    ,xmlns                                             , ,/SEPA_CT_UNES                 ,PAYM,000, ,/SEPA_CT_UNES
  ,N_3311263550,                              , ,          ,          ,C, ,            ,,0070,,000,urn:iso:std:iso:20022:tech:xsd:pain.001.001.03                                                                                      ,                              ,                              ,                              , ,000,                              ,            ,,000,            ,                              ,1,                    ,                    ,   ,   ,N_6621347550,ATOM,N_6389156500, ,,            , , , , ,,                    ,ISO                                               , ,/SEPA_CT_UNES                 ,PAYM,000, ,/SEPA_CT_UNES
  ,N_2225536670,                              , ,CL        ,          ,C, ,            ,,0004,,000,                                                                                                                                    ,                              ,                              ,                              ,5,000,DATLO                         ,            ,,000,            ,SYST                          ,2,                    ,                    ,   ,   ,N_6647036830,ATOM,N_0179888070, ,,            , , , , ,,                    ,YYYY                                              , ,/SEPA_CT_UNES                 ,PAYM,000, ,/SEPA_CT_UNES
  ,N_9866937420,                              , ,CLURP    X,          ,C, ,            ,,0070,,000,                                                                                                                                    ,                              ,                              ,                              ,1,000,KOINH                         ,            ,,000,            ,FPAYH                         ,2,                    ,                    ,   ,   ,N_6785781300,ATOM,N_9218834580, ,,KOINH       , , , , ,,                    ,KOINH                                             , ,/SEPA_CT_UNES                 ,PAYM,000, ,/SEPA_CT_UNES
  ,N_3212123950,                              , ,          ,          ,C, ,N_5757152900,,0000,,000,                                                                                                                                    ,                              ,                              ,                              , ,000,                              ,            ,,000,            ,                              ,8,                    ,                    ,   ,   ,N_7192103500,ELEM,N_1489713350, ,,            , , , , ,,                    ,PmtTpInf                                          , ,/SEPA_CT_UNES                 ,PAYM,000, ,/SEPA_CT_UNES
  ,,                              , ,          ,          ,C, ,N_9961450310,,0000,,001,                                                                                                                                    ,                              ,                              ,                              , ,000,                              ,            ,,000,            ,                              ,8,                    ,                    ,   ,   ,N_7251154690,ELEM,N_4880705930, ,,            , , , , ,,                    ,CstmrCdtTrfInitn                                  , ,/SEPA_CT_UNES                 ,PAYM,000, ,/SEPA_CT_UNES
