NODE_ID,PARENT_ID,TECH_NAME,NODE_TYPE,TREE_ID,VERSION,LEV,FIRSTCHILD_ID,LENGTH,MP_OFFSET,MP_SC_OFFSET,CV_RULE,TAB_KEYFLD,MP_SELECTION,DATA_TYPE,MP_SC_TAB,MP_SC_FLD,MP_EXIT_FUNC,MP_CONST,REF_NAME,MP_IF_TP,BROTHER_ID
N_2790093090,N_4754354180,StrtNm,ELEM,/SEPA_CT_ICTP_ISO,000,000,,0000,000,000,CL RP    X,,2,C,FPAYH,ZSTRA,,,,1,N_1659664320
N_2869800880,N_9145273120,RgltryRptg,ELEM,/SEPA_CT_ICTP_ISO,000,000,N_0469093330,0000,000,000,,,1,C,,,,,,,N_0875432660
N_3124754270,N_5101565700,GPA1R,ATOM,/SEPA_CT_ICTP_ISO,000,000,,0016,000,000,,1,2,C,FPAYH,GPA1R,,,,1,
N_3212123950,N_5694995210,Dt,ELEM,/SEPA_CT_ICTP_ISO,000,002,N_9154022450,0010,000,000,,,6,C,,,,,,,
N_3311263550,N_6389156500,Para,ATOM,/SEPA_CT_ICTP_ISO,000,000,,0070,000,000,,,2,C,FPM_SEPA,XMLNS,,,,4,
N_3341543230,N_9961450310,MsgId,ELEM,/SEPA_CT_ICTP_ISO,000,001,,0016,000,000,,,2,C,FPAYHX,RENUM,,,,1,N_0179888070
N_3397912560,N_8992487460,FinInstnId,ELEM,/SEPA_CT_ICTP_ISO,000,000,N_0085563080,0000,000,000,,,8,C,FPAYH,RWBTR,,,,1,
N_3751282570,N_0179888070,T,ATOM,/SEPA_CT_ICTP_ISO,000,000,,0001,010,000,CL,,1,C,,,,T,,,N_5068303050
N_3895768940,N_1489713350,ChrgBr,ELEM,/SEPA_CT_ICTP_ISO,000,002,,0000,000,000,,,1,C,,,,SLEV,,,N_9145273120
N_3904828830,N_7631742550,FinInstnId,ELEM,/SEPA_CT_ICTP_ISO,000,000,N_8885067030,0000,000,000,,,8,C,,,,,,,
N_3927356240,N_6423782520,Cd,ELEM,/SEPA_CT_ICTP_ISO,000,000,,0004,000,000,,,1,C,FPAYH,ZSWIF,,SUPP,,1,
N_3928239110,N_9926185740,Ctry,ELEM,/SEPA_CT_ICTP_ISO,000,000,,0000,000,000,,,2,C,FPAYHX,LAND1,,,,1,
N_4001913450,N_8802306100,Othr,ELEM,/SEPA_CT_ICTP_ISO,000,000,N_1829691070,0000,000,000,,,8,C,,,,,,,
